HARI,TANGGAL,SESI,MATAKULIAH,JAM,KELAS,DOSEN,LINK_SERVER
Selasa,05/05/2026,II,Kebidanan Komunitas,15.30 - 16.30,KB B SG,Bdn. Rut Yohana Girsang,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Manajemen Pembangunan,15.30 - 16.30,KW A SG,Edgar Octoyuda,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Manajemen Pembangunan,15.30 - 16.30,KW B SG,Edgar Octoyuda,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,II,Manajemen Pembangunan,15.30 - 16.30,KW C SG,Nurjana,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Kewirausahaan Agribisnis,17.30 - 18.30,AB A SR,Levana Kezia Natalia Situmorang,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Kewirausahaan Agribisnis,17.30 - 18.30,AB B SR,Munawarah,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Kewirausahaan Agribisnis,17.30 - 18.30,AB C SR,Levana Kezia Natalia Situmorang,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Kewirausahaan Agribisnis,17.30 - 18.30,AB D SR,Herlyna Novasari Siahaan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Silvikultur,17.30 - 18.30,MH A SR,Rizky Wahyudi,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Silvikultur,17.30 - 18.30,MH B SR,Ulil Amri Daulay,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Silvikultur,17.45 - 18.45,MH C SR,Ratna Sari,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Interaksi Manusia dan Komputer,17.45 - 18.45,BI A SR,Junerdi Nababan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Interaksi Manusia dan Komputer,17.30 - 18.30,BI B SR,Edbert Sungono,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Interaksi Manusia dan Komputer,17.45 - 18.45,BI C SR,Muhammad Imam Santoso,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Interaksi Manusia dan Komputer,17.45 - 18.45,BI D SR,Muhammad Imam Santoso,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Ilmu Tanah,19.20 - 20.20,AB A SR,Ina Febria Ginting,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Ilmu Tanah,19.20 - 20.20,AB B SR,Samsul Ma'arif,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Ilmu Tanah,19.20 - 20.20,AB C SR,Ina Febria Ginting,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Ilmu Tanah,19.20 - 20.20,AB D SR,Munawarah,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Kebidanan Komunitas,19.20 - 20.20,KB A SR,Bdn. Dinda Dian Meidita,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Kebidanan Komunitas,19.20 - 20.20,KB B SR,Bdn. Rut Yohana Girsang,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Manajemen Pembangunan,19.20 - 20.20,KW A SR,Dorothy Ferary Panjaitan,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Manajemen Pembangunan,19.20 - 20.20,KW B SR,Arsy Annisa Asti,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Manajemen Pembangunan,19.20 - 20.20,KW C SR,Arsy Annisa Asti,https://s2.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Manajemen Pembangunan,19.20 - 20.20,KW D SR,Edgar Octoyuda,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Perlindungan Tanaman,14.00 - 15.00,AB A SG,M. Izhar,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Perlindungan Tanaman,14.00 - 15.00,AB B SG,Safrizal,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Perlindungan Tanaman,14.00 - 15.00,AB C SG,Safrizal,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Manajemen Strategi,14.00 - 15.00,KW A SG,Hilda Elsera Br Sembiring,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Manajemen Strategi,14.00 - 15.00,KW B SG,Hilda Elsera Br Sembiring,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Manajemen Strategi,14.00 - 15.00,KW C SG,Hilda Elsera Br Sembiring,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Bisnis Analitik,15.30 - 16.30,BI A SG,Muhammad Saleh Rizkian,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Bisnis Analitik,15.30 - 16.30,BI B SG,Muhammad Saleh Rizkian,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Bisnis Analitik,15.30 - 16.30,BI C SG,Zulfahmi Syahputra Nasution,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Asuhan Neonatus Bayi dan Balita,15.30 - 16.30,KB A SG,Dilma'aarij Riski Agustia,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Asuhan Neonatus Bayi dan Balita,15.30 - 16.30,KB B SG,Novitri Adelina Sipayung,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Kewirausahaan Hijau,15.30 - 16.30,KW A SG,Suci Cahyati,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Kewirausahaan Hijau,15.30 - 16.30,KW B SG,Suci Cahyati,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Kewirausahaan Hijau,15.30 - 16.30,KW C SG,Suci Cahyati,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Perlindungan Tanaman,17.30 - 18.30,AB A SR,Mei Ryan Sandi,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Perlindungan Tanaman,17.30 - 18.30,AB B SR,Mei Ryan Sandi,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Perlindungan Tanaman,17.30 - 18.30,AB C SR,Mei Ryan Sandi,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Perlindungan Tanaman,17.30 - 18.30,AB D SR,Safrizal,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Manajemen Strategi,17.30 - 18.30,KW A SR,Hilda Elsera Br Sembiring,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Manajemen Strategi,17.30 - 18.30,KW B SR,Hilda Elsera Br Sembiring,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Manajemen Strategi,17.30 - 18.30,KW C SR,Aprilda Yanti,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Manajemen Strategi,17.30 - 18.30,KW D SR,Aprilda Yanti,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Bisnis Analitik,19.20 - 20.20,BI A SR,Muhammad Saleh Rizkian,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Bisnis Analitik,19.20 - 20.20,BI B SR,Zulfahmi Syahputra Nasution,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Bisnis Analitik,19.20 - 20.20,BI C SR,Zulfahmi Syahputra Nasution,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Bisnis Analitik,19.20 - 20.20,BI D SR,Zulfahmi Syahputra Nasution,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Asuhan Neonatus Bayi dan Balita,19.20 - 20.20,KB A SR,Dilma'aarij Riski Agustia,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Asuhan Neonatus Bayi dan Balita,19.20 - 20.20,KB B SR,Novitri Adelina Sipayung,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Kewirausahaan Hijau,19.20 - 20.20,KW A SR,Sheila Galuh Syafira Siregar,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Kewirausahaan Hijau,19.20 - 20.20,KW B SR,Sheila Galuh Syafira Siregar,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Kewirausahaan Hijau,19.20 - 20.20,KW C SR,Sheila Galuh Syafira Siregar,https://s2.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Kewirausahaan Hijau,19.20 - 20.20,KW D SR,Sheila Galuh Syafira Siregar,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,IF A SG,Muhammad Irfan,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,IF B SG,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,IF C SG,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,IF D SG,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,KW A SG,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,KW B SG,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,KW C SG,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,MH A SG,Astuti Purwasari,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Keberagamaan,14.00 - 15.00,MH B SG,Astuti Purwasari,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia,15.30 - 16.30,AB A SG,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia,15.30 - 16.30,AB B SG,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia,15.30 - 16.30,AB C SG,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia Ilmiah,15.30 - 16.30,BI A SG,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia Ilmiah,15.30 - 16.30,BI B SG,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia Ilmiah,15.30 - 16.30,BI C SG,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia,15.30 - 16.30,KB A SG,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Bahasa Indonesia,15.30 - 16.30,KB B SG,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,IF A SR,Josua Chariston Simanungkalit,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,IF B SR,Josua Chariston Simanungkalit,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.45 - 18.45,IF C SR,Josua Chariston Simanungkalit,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,IF D SR,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,KW A SR,Dr. Ernida Marbun,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,KW B SR,Astuti Purwasari,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,KW C SR,Astuti Purwasari,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,KW D SR,Astuti Purwasari,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,MH A SR,Josua Chariston Simanungkalit,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.30 - 18.30,MH B SR,Josua Chariston Simanungkalit,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Keberagamaan,17.45 - 18.45,MH C SR,Josua Chariston Simanungkalit,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia,19.20 - 20.20,AB A SR,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia,19.20 - 20.20,AB B SR,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia,19.20 - 20.20,AB C SR,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia,19.20 - 20.20,AB D SR,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia Ilmiah,19.20 - 20.20,BI A SR,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia Ilmiah,19.20 - 20.20,BI B SR,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia Ilmiah,19.20 - 20.20,BI C SR,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia Ilmiah,19.20 - 20.20,BI D SR,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia,19.20 - 20.20,KB A SR,Febry Aurlani,https://s2.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Bahasa Indonesia,19.20 - 20.20,KB B SR,Tri Budiarti Damanik,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Metodologi Penelitian,14.00 - 15.00,BI A SG,Royanti Sinaga,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Metodologi Penelitian,14.00 - 15.00,BI B SG,Royanti Sinaga,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Metodologi Penelitian,14.00 - 15.00,BI C SG,Royanti Sinaga,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusivitas dan Multikulturalisme,14.00 - 15.00,IF A SG,Muhammad Irfan,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusivitas dan Multikulturalisme,14.00 - 15.00,IF B SG,Muhammad Irfan,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusivitas dan Multikulturalisme,14.00 - 15.00,IF C SG,Muhammad Irfan,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusivitas dan Multikulturalisme,14.00 - 15.00,IF D SG,Sry Novita Tondang,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusivitas & Multikulturalisme,14.00 - 15.00,KW A SG,Sry Novita Tondang,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusivitas & Multikulturalisme,14.00 - 15.00,KW B SG,Sry Novita Tondang,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusivitas & Multikulturalisme,14.00 - 15.00,KW C SG,Sry Novita Tondang,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusifitas dan Multikulturalisme,14.00 - 15.00,MH A SG,Sry Novita Tondang,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Inklusifitas dan Multikulturalisme,14.00 - 15.00,MH B SG,Muhammad Irfan,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa Inggris Untuk Agribisnis,15.30 - 16.30,AB A SG,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa Inggris Untuk Agribisnis,15.30 - 16.30,AB B SG,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa Inggris Untuk Agribisnis,15.30 - 16.30,AB C SG,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa inggris,15.30 - 16.30,BI A SG,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa inggris,15.30 - 16.30,BI B SG,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa inggris,15.30 - 16.30,BI C SG,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa Inggris untuk Kebidanan,15.30 - 16.30,KB A SG,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Bahasa Inggris untuk Kebidanan,15.30 - 16.30,KB B SG,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Inklusivitas dan Multikulturalisme,17.30 - 18.30,IF D SR,Nur Kholis,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Inklusivitas dan Multikulturalisme,17.45 - 18.45,IF C SR,Nur Kholis,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Metodologi Penelitian,17.45 - 18.45,BI A SR,Hendra Sakti Putra Siagian,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Metodologi Penelitian,17.30 - 18.30,BI B SR,Hendra Sakti Putra Siagian,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Metodologi Penelitian,17.45 - 18.45,BI C SR,Royanti Sinaga,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Metodologi Penelitian,17.45 - 18.45,BI D SR,Hendra Sakti Putra Siagian,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa Inggris Untuk Agribisnis,19.20 - 20.20,AB A SR,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa Inggris Untuk Agribisnis,19.20 - 20.20,AB B SR,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa Inggris Untuk Agribisnis,19.20 - 20.20,AB C SR,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa Inggris Untuk Agribisnis,19.20 - 20.20,AB D SR,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa inggris,19.20 - 20.20,BI A SR,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa inggris,19.20 - 20.20,BI B SR,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa inggris,19.20 - 20.20,BI C SR,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa inggris,19.20 - 20.20,BI D SR,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa Inggris untuk Kebidanan,19.20 - 20.20,KB A SR,Zhafran Fatih Ananda,https://s2.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Bahasa Inggris untuk Kebidanan,19.20 - 20.20,KB B SR,Puteri Anugrah Septianingsih,https://s2.satyaterrabhinneka.ac.id
