HARI,TANGGAL,SESI,MATAKULIAH,JAM,KELAS,DOSEN,LINK_SERVER
Selasa,05/05/2026,III,Pengantar Asuhan Kebidanan,17.30 - 18.30,KB A SR,Dewi Faradillah,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Pengantar Asuhan Kebidanan,17.30 - 18.30,KB B SR,Bdn. Dinda Dian Meidita,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Pertanggungjawaban Sosial Perusahaan,17.30 - 18.30,KW C SR,Yuliana,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Pertanggungjawaban Sosial Perusahaan,17.30 - 18.30,KW D SR,Zulfahmi Syahputra Nasution,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Pertanggungjawaban Sosial Perusahaan,17.30 - 18.30,KW E SR,Nahar Maganda Saragih,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Bisnis Kehutanan,17.30 - 18.30,MH A SR,Hanna Tresia Silalahi,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Bisnis Kehutanan,17.30 - 18.30,MH B SR,Levana Kezia Natalia Situmorang,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Bisnis Kehutanan,17.30 - 18.30,MH C SR,Levana Kezia Natalia Situmorang,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,III,Bisnis Kehutanan,17.30 - 18.30,MH D SR,Levana Kezia Natalia Situmorang,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Pertanggungjawaban Sosial Perusahaan,19.20 - 20.20,KW A SR,Hendro Sutomo Ginting,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Pertanggungjawaban Sosial Perusahaan,19.20 - 20.20,KW B SR,Nahar Maganda Saragih,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Koperasi dan Kelembagaan Agribisnis,19.20 - 20.20,AB A SR,Herlyna Novasari Siahaan,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Koperasi dan Kelembagaan Agribisnis,19.20 - 20.20,AB B SR,Julia Mardalisa,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Koperasi dan Kelembagaan Agribisnis,19.20 - 20.20,AB C SR,Julia Mardalisa,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Koperasi dan Kelembagaan Agribisnis,19.20 - 20.20,AB D SR,Mia Wananda Varwasih,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Koperasi dan Kelembagaan Agribisnis,19.20 - 20.20,AB E SR,Ninda Novita,https://s1.satyaterrabhinneka.ac.id
Selasa,05/05/2026,IV,Koperasi dan Kelembagaan Agribisnis,19.20 - 20.20,AB F SR,Ninda Novita,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Keterampilan Klinik Praktik Kebidanan,14.00 - 15.00,KB A SG,Debby Pratiwi,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Kebijakan Kehutanan,14.00 - 15.00,MH A SG,Muhtar Ardansah Munthe,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,I,Kebijakan Kehutanan,14.00 - 15.00,MH B SG,Muhtar Ardansah Munthe,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Manajemen Sumber Daya Manusia,15.30 - 16.30,AB A SG,A'ung Ezra Al'Fatah,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Manajemen Sumber Daya Manusia,15.30 - 16.30,AB B SG,A'ung Ezra Al'Fatah,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Sosiologi Kehutanan,15.30 - 16.30,MH A SG,Aulia Putra Daulay,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,II,Sosiologi Kehutanan,15.30 - 16.30,MH B SG,Ratna Sari,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Keterampilan Klinik Praktik Kebidanan,17.30 - 18.30,KB A SR,Debby Pratiwi,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Keterampilan Klinik Praktik Kebidanan,17.30 - 18.30,KB B SR,Bdn. Bilqis Nur Mustofa,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Kebijakan Kehutanan,17.30 - 18.30,MH A SR,Hanna Tresia Silalahi,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Kebijakan Kehutanan,17.30 - 18.30,MH B SR,Hanna Tresia Silalahi,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Kebijakan Kehutanan,17.30 - 18.30,MH C SR,Hanna Tresia Silalahi,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,III,Kebijakan Kehutanan,17.30 - 18.30,MH D SR,Hanna Tresia Silalahi,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Manajemen Sumber Daya Manusia,19.20 - 20.20,AB A SR,Rahmi Nofitasari,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Manajemen Sumber Daya Manusia,19.20 - 20.20,AB B SR,Ina Febria Ginting,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Manajemen Sumber Daya Manusia,19.20 - 20.20,AB C SR,M. Izhar,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Manajemen Sumber Daya Manusia,19.20 - 20.20,AB D SR,M. Izhar,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Manajemen Sumber Daya Manusia,19.20 - 20.20,AB E SR,M. Izhar,https://s1.satyaterrabhinneka.ac.id
Rabu,06/05/2026,IV,Manajemen Sumber Daya Manusia,19.20 - 20.20,AB F SR,Mia Wananda Varwasih,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Kreatifitas dan Inovasi dalam berwirausaha,14.00 - 15.00,KW A SG,Arsy Annisa Asti,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Kreatifitas dan Inovasi dalam berwirausaha,14.00 - 15.00,KW B SG,Arsy Annisa Asti,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Etika dan Hukum Kesehatan,14.00 - 15.00,KB A SG,Bd. Dita Anggriani Lubis,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Penyuluh Kehutanan,14.00 - 15.00,MH A SG,Iskandar,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,I,Penyuluh Kehutanan,14.00 - 15.00,MH B SG,Iskandar,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Manajemen Perkebunan,15.30 - 16.30,AB A SG,Samsul Ma'arif,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Manajemen Perkebunan,15.30 - 16.30,AB B SG,Safrizal,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Farmakologi Kebidanan,15.30 - 16.30,KB A SG,Yusmalia Hidayati,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Interaksi Manusia dan Komputer,15.30 - 16.30,IF D SG,Nita Sari Br Sembiring,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,II,Kreatifitas dan Inovasi dalam berwirausaha,15.40 - 16.40,KW C SG,Aprilda Yanti,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Etika dan Hukum Kesehatan,17.30 - 18.30,KB A SR,Bd. Dita Anggriani Lubis,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Etika dan Hukum Kesehatan,17.30 - 18.30,KB B SR,Bdn. Rut Yohana Girsang,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Penyuluh Kehutanan,17.30 - 18.30,MH A SR,Iskandar,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Penyuluh Kehutanan,17.30 - 18.30,MH B SR,Dayun Ifanda,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Penyuluh Kehutanan,17.30 - 18.30,MH C SR,Levana Kezia Natalia Situmorang,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,III,Penyuluh Kehutanan,17.30 - 18.30,MH D SR,Iskandar,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Manajemen Perkebunan,19.20 - 20.20,AB A SR,Mei Ryan Sandi,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Manajemen Perkebunan,19.20 - 20.20,AB B SR,Mei Ryan Sandi,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Manajemen Perkebunan,19.20 - 20.20,AB C SR,Mei Ryan Sandi,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Manajemen Perkebunan,19.20 - 20.20,AB D SR,Samsul Ma'arif,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Manajemen Perkebunan,19.20 - 20.20,AB E SR,Samsul Ma'arif,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Manajemen Perkebunan,19.20 - 20.20,AB F SR,Samsul Ma'arif,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Farmakologi Kebidanan,19.20 - 20.20,KB A SR,Wiwiek Elsada Nainggolan,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Farmakologi Kebidanan,19.20 - 20.20,KB B SR,Yusmalia Hidayati,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Interaksi Manusia dan Komputer,19.20 - 20.20,IF D SR,Nita Sari Br Sembiring,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Sosiologi Kehutanan,19.20 - 20.20,MH A SR,Iskandar,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Sosiologi Kehutanan,19.20 - 20.20,MH B SR,Aulia Putra Daulay,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Sosiologi Kehutanan,19.20 - 20.20,MH C SR,Aulia Putra Daulay,https://s1.satyaterrabhinneka.ac.id
Kamis,07/05/2026,IV,Sosiologi Kehutanan,19.20 - 20.20,MH D SR,Iskandar,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Dokumentasi Kebidanan,14.00 - 15.00,KB A SG,Bdn. Ria Fazelita Br Gultom,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Pendidikan untuk pembangunan berkelanjutan,14.00 - 15.00,KW A SG,Novitri Adelina Sipayung,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Pendidikan untuk pembangunan berkelanjutan,14.00 - 15.00,KW B SG,Dorothy Ferary Panjaitan,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Pendidikan untuk pembangunan berkelanjutan,14.00 - 15.00,KW C SG,Novitri Adelina Sipayung,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Ekologi Hutan,14.00 - 15.00,MH A SG,Farhan Reza Pahlevi,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,I,Ekologi Hutan,14.00 - 15.00,MH B SG,Sahat Raja Marigo Girsang,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Interaksi Manusia dan Komputer,15.30 - 16.30,IF A SG,Rin Rin Meilani Salim,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Interaksi Manusia dan Komputer,15.30 - 16.30,IF B SG,Rin Rin Meilani Salim,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,II,Interaksi Manusia dan Komputer,15.30 - 16.30,IF C SG,Nia Mardiah,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Interaksi Manusia dan Komputer,17.30 - 18.30,IF A SR,Asha Sembiring,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Interaksi Manusia dan Komputer,17.30 - 18.30,IF B SR,Asha Sembiring,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Interaksi Manusia dan Komputer,17.30 - 18.30,IF C SR,Nia Mardiah,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Interaksi Manusia dan Komputer,17.30 - 18.30,IF E SR,Nita Sari Br Sembiring,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Dokumentasi Kebidanan,17.30 - 18.30,KB A SR,Bdn. Ria Fazelita Br Gultom,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Dokumentasi Kebidanan,17.30 - 18.30,KB B SR,Bdn. Ria Fazelita Br Gultom,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Pendidikan untuk pembangunan berkelanjutan,17.30 - 18.30,KW A SR,Kusnadi,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Pendidikan untuk pembangunan berkelanjutan,17.30 - 18.30,KW B SR,Kusnadi,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Pendidikan untuk pembangunan berkelanjutan,17.30 - 18.30,KW D SR,Debby Pratiwi,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Pendidikan untuk pembangunan berkelanjutan,17.30 - 18.30,KW E SR,Dilma'aarij Riski Agustia,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Ekologi Hutan,17.30 - 18.30,MH A SR,Sahat Raja Marigo Girsang,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Ekologi Hutan,17.30 - 18.30,MH B SR,Farhan Reza Pahlevi,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Ekologi Hutan,17.30 - 18.30,MH C SR,Sahat Raja Marigo Girsang,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,III,Ekologi Hutan,17.30 - 18.30,MH D SR,Farhan Reza Pahlevi,https://s1.satyaterrabhinneka.ac.id
Jumat,08/05/2026,IV,Pendidikan untuk pembangunan berkelanjutan,19.20 - 20.20,KW C SR,Kusnadi,https://s1.satyaterrabhinneka.ac.id
